prodid,TCSassetid,FIBEAssetID,vcmassetid,FONSEAssetID,IPVODAssetID,title,contract,licensestart,licenseend,FUTURE,FIBE,ALIANT,FONSE,IPVOD,VCM,VSPP,categories
1OHC,04C4V,04C4V,623RV,FONSEAssetID,,Original Sin,594,2009/09/12 04:00,2050/01/01 04:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
1OHI,04C6V,04C6V,623XV,FONSEAssetID,,Out Of Time,594,2009/09/12 04:00,2050/01/01 04:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
1OHR,04C9V,04C9V,6M46V,FONSEAssetID,,Robocop,594,2009/09/12 04:00,2050/01/01 04:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
1OHU,04CAV,04CAV,7AKLV,FONSEAssetID,,Ronin,594,2009/09/12 04:00,2050/01/01 04:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
1OID,04CDV,04CDV,7N7TV,FONSEAssetID,,The Silence of the Lambs,1571,2009/09/12 00:00,2049/12/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
1OIH,04CEV,04CEV,7AKPV,FONSEAssetID,,Six Degrees of Separation,594,2009/09/12 04:00,2050/01/01 04:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
1OIK,04CFV,04CFV,7AKRV,FONSEAssetID,,Species,594,2009/09/12 04:00,2050/01/01 04:59,FUTURE,YES,NO,FONSE,NO,YES,VSPP,categories
1OIN,04CGV,04CGV,7AKTV,FONSEAssetID,,Species II,594,2009/09/12 04:00,2050/01/01 04:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
1OIQ,04CHV,04CHV,7N6LV,FONSEAssetID,,Stigmata,594,2009/09/12 04:00,2050/01/01 04:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
1OIW,04CJV,04CJV,7N7PV,FONSEAssetID,,The Thomas Crown Affair (1999),594,2009/09/12 04:00,2050/01/01 04:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
1OJ2,04CLV,04CLV,ABJTV,FONSEAssetID,,Hackers,594,2009/09/12 04:00,2021/01/01 04:59,FUTURE,YES,NO,FONSE,NO,YES,VSPP,categories
1OJ5,04CMV,04CMV,ABJUV,FONSEAssetID,,Jeepers Creepers ,594,2009/09/12 04:00,2021/01/01 04:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
1OVB,04EJV,04EJV,ABK3V,FONSEAssetID,,Be Cool,594,2009/09/12 04:00,2021/01/01 04:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
