contractid|providerid|priority|vodtype
950|warner.com|TVOD|TVOD
345|CTVTV|TVOD|TVOD
939|nbcuni.com|TVOD|TVOD
13|VUBCX|TVOD|TVOD
1092|COMM|TVOD|TVOD
937|www.disney.com|TVOD|TVOD
943|www.sevillepictures.com|TVOD|TVOD
1450|www.levelfilms.com|TVOD|TVOD
2115|www.lionsgate.com|TVOD|TVOD
923|EXP|TVOD|TVOD
1649|www.dfilms.com|TVOD|TVOD
613|SPT|TVOD|TVOD
1240|www.mgm.com|TVOD|TVOD
1602|www.orchard.com|TVOD|TVOD
1242|EXP|TVOD|TVOD
1104|www.mongrelmedia.com|TVOD|TVOD
1638|www.juice.ca|TVOD|TVOD
1098|ZUFFA|TVOD|TVOD
1532|www.remstar.ca|TVOD|TVOD
1313|www.tvafilms.ca|TVOD|TVOD
279|TOPRK|TVOD|TVOD
1975|www.axiafilms.ca|TVOD|TVOD
2097|www.videoservicescorp.ca|TVOD|TVOD
